request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,15656000 IDR is safe today before optional changes; the reserve is 24768300 IDR. Full payment: complete payment by 2025-08-03. Forecast minimum after payments: 55993270.2 IDR.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,6670 ZAR is safe today before optional changes; the reserve is 20500 ZAR. Full payment: complete payment by 2026-07-05. Forecast minimum after payments: 20814.51 ZAR.
request_28,289.23,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,289.23 EUR is safe today before optional changes; the reserve is 1100 EUR. Wait: complete payment by 2024-07-15. Forecast minimum after payments: 1188.46 EUR.
request_29,2154.71,not_affordable,not_recommended,none,,none,2154.71 ZAR is safe today before optional changes; the reserve is 28300 ZAR. No permitted plan completes the request by 2025-11-23 while passing the 90-day reserve check.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,775.2 USD is safe today before optional changes; the reserve is 900 USD. Installments: complete payment by 2026-06-05. Forecast minimum after payments: 2978.08 USD.
request_31,2671392.34,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,2671392.34 IDR is safe today before optional changes; the reserve is 16588900 IDR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 19260292.34 IDR.
request_32,13374.9,affordable_with_plan,wait,2025-04-15:40018,,reduce_to:event_2929:1181.4,13374.9 ZAR is safe today before optional changes; the reserve is 35700 ZAR. Wait: complete payment by 2025-04-15. Requires reduce_to:event_2929:1181.4. Forecast minimum after payments: 39803.04 ZAR.
request_33,24024.83,affordable_with_plan,wait,2026-03-15:118000,,stop:event_2967,24024.83 INR is safe today before optional changes; the reserve is 102100 INR. Wait: complete payment by 2026-03-15. Requires stop:event_2967. Forecast minimum after payments: 104952.2 INR.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,129400 INR is safe today before optional changes; the reserve is 138500 INR. Full payment: complete payment by 2024-12-04. Forecast minimum after payments: 279528.33 INR.
request_35,22850.33,affordable_later,wait,2026-01-15:212000,2026-01-15,none,22850.33 INR is safe today before optional changes; the reserve is 106400 INR. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 129250.33 INR.
request_36,593.32,affordable_later,wait,2026-09-15:3954,2026-09-15,none,593.32 USD is safe today before optional changes; the reserve is 2400 USD. Wait: complete payment by 2026-09-15. Forecast minimum after payments: 2993.32 USD.
request_37,4367687.17,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,4367687.17 IDR is safe today before optional changes; the reserve is 17056200 IDR. Wait: complete payment by 2024-05-15. Forecast minimum after payments: 21423887.17 IDR.
request_38,171.65,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,171.65 EUR is safe today before optional changes; the reserve is 400 EUR. Wait: complete payment by 2025-10-15. Forecast minimum after payments: 571.65 EUR.
request_39,57446.05,affordable_later,wait,2026-06-15:208600,2026-06-15,none,57446.05 INR is safe today before optional changes; the reserve is 213400 INR. Wait: complete payment by 2026-06-15. Forecast minimum after payments: 270846.05 INR.
request_40,355.02,affordable_with_plan,wait,2024-08-15:1290.3,,reduce_to:event_3710:36.5,355.02 EUR is safe today before optional changes; the reserve is 1500 EUR. Wait: complete payment by 2024-08-15. Requires reduce_to:event_3710:36.5. Forecast minimum after payments: 1724.92 EUR.
request_41,7464073.87,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,7464073.87 IDR is safe today before optional changes; the reserve is 25366600 IDR. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 32830673.87 IDR.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,52100 INR is safe today before optional changes; the reserve is 113100 INR. Full payment: complete payment by 2026-01-05. Forecast minimum after payments: 156248.88 INR.
request_43,8273626.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,8273626.88 IDR is safe today before optional changes; the reserve is 21398000 IDR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 29671626.88 IDR.
request_44,30617.21,affordable_later,wait,2025-04-15:95800,2025-04-15,none,30617.21 INR is safe today before optional changes; the reserve is 82900 INR. Wait: complete payment by 2025-04-15. Forecast minimum after payments: 83560.17 INR.
request_45,3392143.27,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,3392143.27 IDR is safe today before optional changes; the reserve is 11149800 IDR. Wait: complete payment by 2026-09-15. Forecast minimum after payments: 14541943.27 IDR.
request_46,35318.22,affordable_with_plan,partial_payment,2024-12-03:35318.22|2024-12-15:14131.78,2024-12-15,none,35318.22 INR is safe today before optional changes; the reserve is 84000 INR. Partial payment: complete payment by 2024-12-15. Forecast minimum after payments: 84000 INR.
request_47,948026.24,not_affordable,not_recommended,none,,none,948026.24 IDR is safe today before optional changes; the reserve is 30049000 IDR. No permitted plan completes the request by 2025-06-19 while passing the 90-day reserve check.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,45700 INR is safe today before optional changes; the reserve is 71300 INR. Full payment: complete payment by 2026-07-25. Forecast minimum after payments: 76883.19 INR.
request_49,12557479.98,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4569:368600,12557479.98 IDR is safe today before optional changes; the reserve is 20275700 IDR. Installments: complete payment by 2024-05-19. Requires reduce_to:event_4569:368600. Forecast minimum after payments: 20465184.71 IDR.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,43900 INR is safe today before optional changes; the reserve is 99700 INR. Full payment: complete payment by 2025-08-06. Forecast minimum after payments: 154926.9 INR.
request_51,2169453.42,not_affordable,not_recommended,none,,none,2169453.42 IDR is safe today before optional changes; the reserve is 7811000 IDR. No permitted plan completes the request by 2026-02-28 while passing the 90-day reserve check.
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,19241.76 INR is safe today before optional changes; the reserve is 41500 INR. Wait: complete payment by 2024-06-15. Forecast minimum after payments: 54751.64 INR.
request_53,464.06,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4925,464.06 USD is safe today before optional changes; the reserve is 2100 USD. Installments: complete payment by 2026-01-16. Requires stop:event_4925. Forecast minimum after payments: 2219.08 USD.
request_54,2083.52,not_affordable,not_recommended,none,,none,2083.52 ZAR is safe today before optional changes; the reserve is 37000 ZAR. No permitted plan completes the request by 2026-08-21 while passing the 90-day reserve check.
request_55,114817.06,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5103:2536,114817.06 INR is safe today before optional changes; the reserve is 124300 INR. Installments: complete payment by 2026-08-12. Requires stop:event_5101|reduce_to:event_5103:2536. Forecast minimum after payments: 129871.11 INR.
request_56,634.6,affordable_with_plan,partial_payment,2025-02-03:634.6|2025-02-15:246.96,2025-02-15,none,634.6 USD is safe today before optional changes; the reserve is 2100 USD. Partial payment: complete payment by 2025-02-15. Forecast minimum after payments: 2100 USD.
request_57,12779.86,affordable_later,wait,2026-06-15:61446,2026-06-15,none,12779.86 ZAR is safe today before optional changes; the reserve is 42700 ZAR. Wait: complete payment by 2026-06-15. Forecast minimum after payments: 55479.86 ZAR.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,16226000 IDR is safe today before optional changes; the reserve is 14433900 IDR. Full payment: complete payment by 2024-12-07. Forecast minimum after payments: 21004178.26 IDR.
request_59,130646.58,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,reduce_to:event_5537:3930,130646.58 INR is safe today before optional changes; the reserve is 132600 INR. Installments: complete payment by 2025-07-02. Requires reduce_to:event_5537:3930. Forecast minimum after payments: 144532.59 INR.
request_60,117.63,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,117.63 USD is safe today before optional changes; the reserve is 400 USD. Wait: complete payment by 2026-01-15. Forecast minimum after payments: 404.63 USD.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,29062 ZAR is safe today before optional changes; the reserve is 36700 ZAR. Installments: complete payment by 2024-05-18. Forecast minimum after payments: 37590.41 ZAR.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,404.23 USD is safe today before optional changes; the reserve is 1300 USD. Full payment: complete payment by 2025-08-05. Forecast minimum after payments: 3029.73 USD.
request_63,37335.07,not_affordable,not_recommended,none,,none,37335.07 INR is safe today before optional changes; the reserve is 153500 INR. No permitted plan completes the request by 2026-09-17 while passing the 90-day reserve check.
request_64,0,not_affordable,not_recommended,none,,none,0 INR is safe today before optional changes; the reserve is 36100 INR. No permitted plan completes the request by 2024-08-16 while passing the 90-day reserve check.
request_65,5917.88,not_affordable,not_recommended,none,,none,5917.88 ZAR is safe today before optional changes; the reserve is 15500 ZAR. No permitted plan completes the request by 2025-11-25 while passing the 90-day reserve check.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,22200 INR is safe today before optional changes; the reserve is 80700 INR. Full payment: complete payment by 2026-04-03. Forecast minimum after payments: 204767.33 INR.
request_67,295.04,affordable_later,wait,2024-11-15:2094,2024-11-15,none,295.04 USD is safe today before optional changes; the reserve is 1200 USD. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 1495.04 USD.
request_68,1331.71,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,stop:event_6330,1331.71 USD is safe today before optional changes; the reserve is 1500 USD. Installments: complete payment by 2025-04-11. Requires stop:event_6330. Forecast minimum after payments: 1503 USD.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,529.1 EUR is safe today before optional changes; the reserve is 700 EUR. Full payment: complete payment by 2026-01-04. Forecast minimum after payments: 723.92 EUR.
request_70,50476.8,affordable_later,wait,2025-02-15:243900,2025-02-15,none,50476.8 INR is safe today before optional changes; the reserve is 115000 INR. Wait: complete payment by 2025-02-15. Forecast minimum after payments: 164065.48 INR.
request_71,244128.26,not_affordable,not_recommended,none,,none,244128.26 IDR is safe today before optional changes; the reserve is 8884800 IDR. No permitted plan completes the request by 2025-05-28 while passing the 90-day reserve check.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,11330 ZAR is safe today before optional changes; the reserve is 12200 ZAR. Full payment: complete payment by 2026-07-05. Forecast minimum after payments: 12471.81 ZAR.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,71400 INR is safe today before optional changes; the reserve is 103200 INR. Full payment: complete payment by 2023-01-20. Forecast minimum after payments: 105027.4 INR.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,5010 ZAR is safe today before optional changes; the reserve is 21900 ZAR. Full payment: complete payment by 2025-08-04. Forecast minimum after payments: 50072.58 ZAR.
request_75,13762.04,not_affordable,not_recommended,none,,none,13762.04 ZAR is safe today before optional changes; the reserve is 39000 ZAR. No permitted plan completes the request by 2026-06-12 while passing the 90-day reserve check.
request_76,717.14,not_affordable,not_recommended,none,,none,717.14 USD is safe today before optional changes; the reserve is 1800 USD. No permitted plan completes the request by 2024-07-30 while passing the 90-day reserve check.
request_77,60102.73,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,60102.73 INR is safe today before optional changes; the reserve is 82200 INR. Full payment: complete payment by 2025-11-05. Requires stop:event_7143. Forecast minimum after payments: 82307.73 INR.
request_78,43628.46,not_affordable,not_recommended,none,2025-10-15,none,43628.46 INR is safe today before optional changes; the reserve is 55200 INR. No permitted plan completes the request by 2025-10-14 while passing the 90-day reserve check.
request_79,313.14,not_affordable,not_recommended,none,,none,313.14 EUR is safe today before optional changes; the reserve is 1000 EUR. No permitted plan completes the request by 2024-11-01 while passing the 90-day reserve check.
request_80,109969.65,not_affordable,not_recommended,none,,none,109969.65 INR is safe today before optional changes; the reserve is 121300 INR. No permitted plan completes the request by 2025-02-21 while passing the 90-day reserve check.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,2076 USD is safe today before optional changes; the reserve is 1600 USD. Full payment: complete payment by 2026-07-03. Forecast minimum after payments: 1666.98 USD.
request_82,313.89,affordable_later,wait,2025-01-15:1405.2,2025-01-15,none,313.89 USD is safe today before optional changes; the reserve is 1100 USD. Wait: complete payment by 2025-01-15. Forecast minimum after payments: 1208.32 USD.
request_83,7244.95,not_affordable,not_recommended,none,,none,7244.95 INR is safe today before optional changes; the reserve is 37800 INR. No permitted plan completes the request by 2025-06-17 while passing the 90-day reserve check.
request_84,21859.07,affordable_later,wait,2026-06-15:95400,2026-06-15,none,21859.07 INR is safe today before optional changes; the reserve is 91300 INR. Wait: complete payment by 2026-06-15. Forecast minimum after payments: 107335.71 INR.
request_85,416158.14,not_affordable,not_recommended,none,,none,416158.14 IDR is safe today before optional changes; the reserve is 6396300 IDR. No permitted plan completes the request by 2024-04-26 while passing the 90-day reserve check.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,46300 INR is safe today before optional changes; the reserve is 84900 INR. Full payment: complete payment by 2025-08-03. Forecast minimum after payments: 88618.32 INR.
request_87,16184.31,not_affordable,not_recommended,none,,none,16184.31 INR is safe today before optional changes; the reserve is 185900 INR. No permitted plan completes the request by 2026-03-15 while passing the 90-day reserve check.
request_88,10735.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,10735.77 ZAR is safe today before optional changes; the reserve is 25800 ZAR. Installments: complete payment by 2024-08-15. Forecast minimum after payments: 27490.54 ZAR.
request_89,9410711.99,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-15,stop:event_8335|reduce_to:event_8337:266760,9410711.99 IDR is safe today before optional changes; the reserve is 12534700 IDR. Installments: complete payment by 2026-01-13. Requires stop:event_8335|reduce_to:event_8337:266760. Forecast minimum after payments: 13021934.68 IDR.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,2560 ZAR is safe today before optional changes; the reserve is 7600 ZAR. Full payment: complete payment by 2026-07-06. Forecast minimum after payments: 19005.31 ZAR.
request_91,314.66,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,314.66 EUR is safe today before optional changes; the reserve is 2100 EUR. Wait: complete payment by 2024-11-15. Forecast minimum after payments: 2414.66 EUR.
